Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.0191E-11,4.7017E-09,2.0969E-11,0,0,0,30,0.2720939,1.147E-08,7.3979E-10,0.6040536,8.6954E-09,0.7274273,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/base_link.STL,,Torso-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip_Link,-0.0064702,-0.0031168,-1.8861E-09,0,0,0,2.5,0.004546,-3.65E-05,4.5559E-09,0.0072194,-1.0818E-08,0.0050078,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FL_hip_Link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FL_hip_Link.STL,,FL_hip_Joint-1,坐标系2,基准轴1,FL_hip_Joint,revolute,0.31,0.08,0,0,0,0,base_link,1,0,0,75,13.96,-0.7854,0.7854,,,,,,,,
FL_thigh_Link,-0.013506,-0.013585,-0.076918,0,0,0,3.6,0.047254,-0.0006776,0.0050935,0.048528,-0.003829,0.0074044,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FL_thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FL_thigh_Link.STL,,FL_thigh_Joint-1,坐标系3,基准轴2,FL_thigh_Joint,revolute,0,0.125,0,0,0,0,FL_hip_Link,0,1,0,120,8.72,-1.012,4.1538,,,,,,,,
FL_calf_Link,0.01548,5.1235E-08,-0.16117,0,0,0,1.2,0.017699,2.717E-10,-0.0011852,0.018059,-6.8945E-09,0.0006172,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FL_calf_Link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FL_calf_Link.STL,,FL_calf_Joint-1,坐标系4,基准轴3,FL_calf_Joint,revolute,0,0,-0.35,0,0,0,FL_thigh_Link,0,-1,0,120,8.72,0.61086,2.7925,,,,,,,,
FL_foot_Link,-0.0062191,-2.5813E-15,-0.011423,0,0,0,0.2,7.7E-05,2.2617E-10,-1.97E-05,9.6E-05,-5.7823E-10,0.0001024,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FL_foot_Link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FL_foot_Link.STL,,FL_foot_Joint-1,坐标系5,,FL_foot_Joint,fixed,0,0,-0.35,0,0,0,FL_calf_Link,0,0,0,,,,,,,,,,,,
FR_hip_Link,-0.0064702,0.0031168,1.8861E-09,0,0,0,2.5,0.0045464,3.65E-05,-4.5559E-09,0.0072194,-1.0818E-08,0.0050078,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FR_hip_Link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FR_hip_Link.STL,,FR_hip_Joint-1,坐标系6,基准轴4,FR_hip_Joint,revolute,0.31,-0.08,0,0,0,0,base_link,1,0,0,75,13.96,-0.7854,0.7854,,,,,,,,
FR_thigh_Link,-0.013505,0.013599,-0.077042,0,0,0,3.6,0.0472449,0.000678,0.0051024,0.0485268,0.0038394,0.0074105,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FR_thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FR_thigh_Link.STL,,FR_thigh_Joint-1,坐标系7,基准轴5,FR_thigh_Joint,revolute,0,-0.125,0,0,0,0,FR_hip_Link,0,-1,0,120,8.72,-4.1538,1.012,,,,,,,,
FR_calf_Link,0.01548,5.1235E-08,-0.16117,0,0,0,1.2,0.0176987,2.717E-10,-0.0011852,0.0180589,-6.8945E-09,0.0006172,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FR_calf_Link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FR_calf_Link.STL,,FR_calf_Joint-1,坐标系8,基准轴6,FR_calf_Joint,revolute,0,0,-0.35,0,0,0,FR_thigh_Link,0,-1,0,120,8.72,0.61086,2.7925,,,,,,,,
FR_foot_Link,-0.0062191,-2.498E-15,-0.011423,0,0,0,0.2,7.7E-05,2.2617E-10,-1.97E-05,9.6E-05,-5.7823E-10,0.0001024,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FR_foot_Link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/FR_foot_Link.STL,,FR_foot_Joint-1,坐标系9,Axis_FR_foot_Joint,FR_foot_Joint,fixed,0,0,-0.35,0,0,0,FR_calf_Link,0,0,0,,,,,,,,,,,,
HL_hip_Link,0.0064702,-0.0031168,1.8861E-09,0,0,0,2.5,0.0045464,3.65E-05,4.5559E-09,0.0072194,1.0818E-08,0.0050078,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/HL_hip_Link.STL,1,1,1,1,0,0,0,0,0,0,package://QuadrupedRobot（2026） V1.2-URDF-20260508-V3/meshes/HL_hip_Link.STL,,HL_hip_Joint-1,坐标系10,基准轴7,HL_hip_Joint,revolute,-0.31,0.08,0,0,0,0,base_link,-1,0,0,75,13.96,-0.7854,0.7854,,,,,,,,
